# id	situacao_grupo_id	tipo_versao	versao_origem_id	validada	idioma	tipo	contexto	enunciado	fonte	subtipo	estado_inicial	transformacao	sinal_transformacao	estado_final	quantidade_1	quantidade_2	resultado	referido	referendo	valor_relativo	sinal_valor_relativo	termo_desconhecido	representacao_visual	observacoes	personagem_1	personagem_2	personagem_3	fragmento_texto_1	fragmento_texto_2	fragmento_texto_3	fragmento_texto_4	fragmento_texto_5	fragmento_texto_6	operacao_relacao	estado_intermediario	operacao_estado_transformacao	estado_inicial_parte1	estado_inicial_parte1_personagem	estado_inicial_parte2	estado_inicial_parte2_personagem
PO_TRANSFORMACAO_MEDIDAS_figurinhas_1595370160	SP_LEGADO_0001	original		true	pt-BR	TRANSFORMACAO_MEDIDAS	Figurinhas	Maria faz coleção de figurinhas. Ela tem 32 figurinhas. Sua mãe a presenteou com mais 22 figurinhas. Quantas figurinhas Maria tem em sua coleção agora?	pdf		32	22	positivo	54								estado_final	TRANSFORMACAO_MEDIDAS	Estou testando a curadoria												
PO_TRANSFORMACAO_MEDIDAS_frutas_e_verduras_365604840	SP_LEGADO_0002	original		true	pt-BR	TRANSFORMACAO_MEDIDAS	Frutas e verduras	Maria foi fazer compras na feira com R$ 25,00. Gastou R$ 18,00 comprando frutas e verduras. Com quantos reais Maria ficou após a feira?	pdf		25,00	18,00	negativo	7								estado_final	TRANSFORMACAO_MEDIDAS	Testando a curadoria	Reais	Reais	Reais									
PO_TRANSFORMACAO_MEDIDAS_frutas_93128185	SP_LEGADO_0003	original		true	pt-BR	TRANSFORMACAO_MEDIDAS	Frutas	Nádia comprou dez morangos, sua irmã comeu três. Com quantos morangos Nádia ficou?	pdf		10	3	negativo	7								estado_final	TRANSFORMACAO_MEDIDAS	testando a curadoria	Morangos	Morangos	Morangos									
PO_TRANSFORMACAO_MEDIDAS_balas_2108939476	SP_LEGADO_0004	original		true	pt-BR	TRANSFORMACAO_MEDIDAS	Balas	Leandro tinha 10 balas. Lucas, seu irmão, pegou algumas balas escondidas de Leandro. Quando Leandro foi comer suas balas só restavam 6 balas. Quantas balas Lucas comeu?	pdf		10	-4	negativo	6								transformação	TRANSFORMACAO_MEDIDAS		Balas	Balas	Balas									
PO_TRANSFORMACAO_MEDIDAS_bolas_163355672	SP_LEGADO_0005	original		true	pt-BR	TRANSFORMACAO_MEDIDAS	Bolas	Paulo tinha 6 bolas pela manhã. Ele ganhou 8 à tarde. Com quantas bolas ele ficou?	pdf		6	8	positivo	14								estado_final	TRANSFORMACAO_MEDIDAS		Bolas	Bolas	Bolas									
PO_TRANSFORMACAO_MEDIDAS_dinheiro_e_brinquedos_188709799	SP_LEGADO_0006	original		true	pt-BR	TRANSFORMACAO_MEDIDAS	Dinheiro e brinquedos	Andréa tinha economizado 16 reais (R$ 16) para comprar uma boneca. Sua tia deu-lhe mais 5 reais (R$ 5). Com quanto Andréa ficou?	pdf		16	5	positivo	21								estado_final	TRANSFORMACAO_MEDIDAS		Reais	Reais	Reais									
PO_TRANSFORMACAO_MEDIDAS_figurinhas_1775031040	SP_LEGADO_0007	original		true	pt-BR	TRANSFORMACAO_MEDIDAS	Figurinhas	Lucas ganhou 12 figurinhas de seu tio. Ele possui agora 17 figurinhas. Quantas figurinhas ele tinha antes de ganhar as figurinhas do tio?	pdf		5	12		17								estado_inicial	TRANSFORMACAO_MEDIDAS		Figurinhas	Figurinhas	Figurinhas									
PO_TRANSFORMACAO_MEDIDAS_selos_1714134340	SP_LEGADO_0008	original		false	pt-BR	TRANSFORMACAO_MEDIDAS	Selos	Pedro coleciona selos. Hoje ganhou 23 selos ficando com 417 selos na sua coleção. Quantos selos ele tinha antes?	pdf														TRANSFORMACAO_MEDIDAS													
PO_TRANSFORMACAO_MEDIDAS_bonecas_1110858110	SP_LEGADO_0009	original		false	pt-BR	TRANSFORMACAO_MEDIDAS	Bonecas	Karla coleciona fofoletes. Mês passado, ela tinha 25 fofoletes. Hoje ela contou sua coleção e viu que já possui 34. Quantas fofoletes ela ganhou desde o mês passado?	pdf														TRANSFORMACAO_MEDIDAS													
PO_TRANSFORMACAO_MEDIDAS_bolas_de_gude_395319925	SP_LEGADO_0010	original		false	pt-BR	TRANSFORMACAO_MEDIDAS	Bolas de Gude	Paulo tinha dezesseis bolas de gude. Ele deu 5 para seu irmão Pedro. Com quantas bolas ele ficou?	pdf														TRANSFORMACAO_MEDIDAS													
PO_TRANSFORMACAO_MEDIDAS_dinheiro_1310168816	SP_LEGADO_0011	original		false	pt-BR	TRANSFORMACAO_MEDIDAS	Dinheiro	Mônica foi à feira com R$73,00 e voltou com R$18,00. Quanto Mônica gastou na feira?	pdf														TRANSFORMACAO_MEDIDAS													
PO_TRANSFORMACAO_MEDIDAS_figurinhas_917349929	SP_LEGADO_0012	original		false	pt-BR	TRANSFORMACAO_MEDIDAS	Figurinhas	Lucas perdeu 12 figurinhas para o João no jogo de bafo. Ele possui agora 17 figurinhas. Quantas figurinhas ele tinha antes?	pdf														TRANSFORMACAO_MEDIDAS													
PO_TRANSFORMACAO_MEDIDAS_dinheiro_87364621	SP_LEGADO_0013	original		false	pt-BR	TRANSFORMACAO_MEDIDAS	Dinheiro	Larissa possuía R$20,00, ganhou mais R$ 35,00 de sua avó. Com quanto dinheiro ela ficou?	pdf														TRANSFORMACAO_MEDIDAS													
PO_TRANSFORMACAO_MEDIDAS_dinheiro_1663317646	SP_LEGADO_0014	original		false	pt-BR	TRANSFORMACAO_MEDIDAS	Dinheiro	Ícaro tinha R$5,00, pagou o ônibus que custava R$1,00 a passagem. Quanto ele recebeu de troco?	pdf														TRANSFORMACAO_MEDIDAS													
PO_TRANSFORMACAO_MEDIDAS_alunos_750420606	SP_LEGADO_0015	original		false	pt-BR	TRANSFORMACAO_MEDIDAS	Alunos	Em uma sala, há 20 alunos no começo da aula. Cinco alunos chegaram atrasados. Quantos alunos ficaram no final da aula?	pdf														TRANSFORMACAO_MEDIDAS													
PO_TRANSFORMACAO_MEDIDAS_flores_1333330849	SP_LEGADO_0016	original		false	pt-BR	TRANSFORMACAO_MEDIDAS	Flores	Num buquê de rosas existem 10 rosas: 5 rosas brancas e 5 rosas vermelhas. Foram tiradas 3 rosas. Quantas rosas restaram no buquê?	pdf														TRANSFORMACAO_MEDIDAS													
PO_TRANSFORMACAO_MEDIDAS_festa_164394915	SP_LEGADO_0017	original		false	pt-BR	TRANSFORMACAO_MEDIDAS	Festa	Joana convidou 20 amiguinhos da escola para sua festa de aniversário. Na hora de cantar Parabéns apareceram também seu pai e sua mãe. Quantas pessoas estavam na festa?	pdf														TRANSFORMACAO_MEDIDAS													
PO_TRANSFORMACAO_MEDIDAS_dinheiro_846666488	SP_LEGADO_0018	original		false	pt-BR	TRANSFORMACAO_MEDIDAS	Dinheiro	Priscila tinha R$10,00, emprestou R$3,00 para dois amigos. Com quantos reais Priscila ficou?	pdf														TRANSFORMACAO_MEDIDAS													
PO_TRANSFORMACAO_MEDIDAS_fivelas_122481876	SP_LEGADO_0019	original		false	pt-BR	TRANSFORMACAO_MEDIDAS	Fivelas	Alice tem sete fivelas, ganhou mais quatro de sua mãe. Quantas fivelas Alice tem agora?	pdf														TRANSFORMACAO_MEDIDAS													
PO_TRANSFORMACAO_MEDIDAS_brinquedos_1304676054	SP_LEGADO_0020	original		false	pt-BR	TRANSFORMACAO_MEDIDAS	Brinquedos	Felipe tinha sete carrinhos, perdeu três em uma brincadeira. Quantos carrinhos Felipe tem agora?	pdf														TRANSFORMACAO_MEDIDAS													
PO_TRANSFORMACAO_MEDIDAS_alimentos_1164386440	SP_LEGADO_0021	original		false	pt-BR	TRANSFORMACAO_MEDIDAS	Alimentos	Na dispensa havia 15kg de arroz. Já foram utilizados 7kg. Quantos quilos de arroz ainda tenho?	pdf														TRANSFORMACAO_MEDIDAS													
PO_TRANSFORMACAO_MEDIDAS_frutas_1324070195	SP_LEGADO_0022	original		false	pt-BR	TRANSFORMACAO_MEDIDAS	Frutas	Em uma caixa Lia guarda 5 maçãs. Foram postas nela outras duas maçãs. Quantas maçãs existem agora na caixa?	pdf														TRANSFORMACAO_MEDIDAS													
PO_TRANSFORMACAO_MEDIDAS_brinquedos_1672230	SP_LEGADO_0023	original		false	pt-BR	TRANSFORMACAO_MEDIDAS	Brinquedos	Em uma loja havia 8 carrinhos para vender. Foram vendidos 6 carrinhos. Quantos sobraram?	pdf														TRANSFORMACAO_MEDIDAS													
PO_TRANSFORMACAO_MEDIDAS_livros_2659432	SP_LEGADO_0024	original		false	pt-BR	TRANSFORMACAO_MEDIDAS	Livros	Raquel tinha quatro livros, sua mãe lhe deu mais cinco, com quantos livros Raquel ficou?	pdf														TRANSFORMACAO_MEDIDAS													
PO_TRANSFORMACAO_MEDIDAS_refrigerantes_151430865	SP_LEGADO_0025	original		false	pt-BR	TRANSFORMACAO_MEDIDAS	Refrigerantes	Rafael tinha dez refrigerantes e João tomou seis. Quantos refrigerantes restaram?	pdf		10	seis	negativo	4								estado_final	TRANSFORMACAO_MEDIDAS		Rafael	João	Refrigerantes									
PO_TRANSFORMACAO_MEDIDAS_aneis_334103531	SP_LEGADO_0026	original		false	pt-BR	TRANSFORMACAO_MEDIDAS	Anéis	Priscila tinha dois anéis, comprou 3, com quantos ficou?	pdf														TRANSFORMACAO_MEDIDAS													
PO_COMPOSICAO_TRANSFORMACAO_MEDIDAS_flores_422431114	SP_LEGADO_0027	original		true	pt-BR	COMPOSICAO_TRANSFORMACOES	Flores	Vovó possui 2 rosas brancas e 3 rosas amarelas. Deu 1 rosa branca e 1 rosa amarela para a sua netinha. Com quantas rosas vovó ficou?	pdf		5	2	negativo	3	1	1	2					estado_final	COMPOSICAO_TRANSFORMACAO_MEDIDAS		Rosas brancas	Rosas amarelas	Vovó	Vovó possui 2 rosas bracas	e 3 rosa amarelas	Deu 1 rosa branca	e 1 amarela	para sua netinha	Com quantas rosas vovó ficou				3	Rosas amarelas	2	Rosas brancas
PO_COMPOSICAO_TRANSFORMACAO_MEDIDAS_mesas_1238199450	SP_LEGADO_0028	original		false	pt-BR	COMPOSICAO_TRANSFORMACOES	Mesas	Em uma sala havia cinco mesas redondas e quatro mesas quadradas. Foi tirada da sala duas mesas redondas e uma mesa quadrada. Quantas mesas ficaram?	pdf														COMPOSICAO_TRANSFORMACAO_MEDIDAS													
PO_TRANSFORMACAO_COMPOSTA_DOIS_PASSOS_guloseimas_400916186	SP_LEGADO_0029	original		true	pt-BR	COMPOSICAO_TRANSFORMACOES	Guloseimas	Geisa tinha uma caixa com 35 chocolates. Comeu 2 ontem e 5 hoje. Quantos chocolates ainda tem?	pdf		35			28	-2	-5	-7					estado_final	TRANSFORMACAO_COMPOSTA_DOIS_PASSOS		Chocolates	Chocolates	Chocolates							soma	33					
PO_TRANSFORMACAO_MEDIDAS_bolas_de_gude_555598173	SP_LEGADO_0030	original		false	pt-BR	TRANSFORMACAO_MEDIDAS	Bolas de gude	Ricardo saiu para jogar bola de gude. Ao sair de casa ele possuía 2 bolas. Ao voltar, ele tinha 6 bolas. O que aconteceu no jogo?	pdf														TRANSFORMACAO_MEDIDAS													
PO_TRANSFORMACAO_MEDIDAS_frutas_1638871910	SP_LEGADO_0031	original		false	pt-BR	TRANSFORMACAO_MEDIDAS	Frutas	Maria tinha 4 maçãs, comprou 6 bananas. Com quantas frutas ficou?	pdf														TRANSFORMACAO_MEDIDAS													
PO_COMPOSICAO_MEDIDAS_bolas_1098018440	SP_LEGADO_0032	original		true	pt-BR	COMPOSICAO_MEDIDAS	Bolas	Paulo tem seis bolas de vidro e oito de aço. Quantas bolas ele tem ao todo?	pdf						6	8	14					todo	DIAGRAMA_COMPOSICAO_COLECOES	testando a curadoria	Vidro	Aço										
PO_COMPOSICAO_MEDIDAS_figurinhas_755733109	SP_LEGADO_0033	original		true	pt-BR	COMPOSICAO_MEDIDAS	Figurinhas	Lucas tem 12 figurinhas do Pokémon e 25 do Digimon. Quantas figurinhas ele tem ao todo?	pdf						12	25	37					todo	DIAGRAMA_COMPOSICAO_COLECOES		Pokémon	Digimon	Lucas									
PO_COMPOSICAO_MEDIDAS_bonecas_1023345945	SP_LEGADO_0034	original		true	pt-BR	COMPOSICAO_MEDIDAS	Bonecas	Lívia tem 7 fofoletes, Deborah tem 12 fofoletes. Quantas fofoletes elas têm em conjunto?	pdf						7	12	19					todo	DIAGRAMA_COMPOSICAO_COLECOES		Lígia	Debora	Fofoletes									
PO_COMPOSICAO_MEDIDAS_bolas_608460155	SP_LEGADO_0035	original		false	pt-BR	COMPOSICAO_MEDIDAS	Bolas	Paulo tem 17 bolas azuis e vermelhas. Se ele tem 11 bolas azuis, quantas bolas vermelhas ele tem?	pdf														DIAGRAMA_COMPOSICAO_COLECOES													
PO_COMPOSICAO_MEDIDAS_figurinhas_374487832	SP_LEGADO_0036	original		false	pt-BR	COMPOSICAO_MEDIDAS	Figurinhas	Lucas tem 19 figurinhas de Pokémon e Digimon. Se ele tem 6 figurinhas de Pokémon, quantas figurinhas de Digimon ele tem?	pdf														DIAGRAMA_COMPOSICAO_COLECOES													
PO_COMPOSICAO_MEDIDAS_roupas_442246020	SP_LEGADO_0037	original		false	pt-BR	COMPOSICAO_MEDIDAS	Roupas	Ana ganhou em sua festa de aniversário 2 vestidos vermelhos e 5 vestidos amarelos. Quantos vestidos Ana ganhou ao todo?	pdf														DIAGRAMA_COMPOSICAO_COLECOES													
